username,text,date
lucacappucci,🔥🔥,2024-09-17 18:30:42
cris_mineo,Que maravilha esse vídeo. Emocionante 👏👏👏,2024-09-18 13:51:19
yurilimafilms,👀👀,2024-09-17 18:42:14
murilodada,"Foda demais, muitas memórias de infância",2024-09-17 18:27:06
danimischiatti,uauu 👏,2024-09-18 00:30:29
vininacif,senna é único ❤️,2024-09-17 18:48:51
joaopaulo_beltrao,Sensacional ⭕️⭕️⭕️⭕️ @sennabrasil 👏👏👏👏,2024-09-18 09:38:57
apogianeli,Emocionante ❤️,2024-09-18 11:03:04
batistajunior270,😍😍😍,2024-09-17 21:14:43
_shock.s,🔥🔥,2024-09-17 19:39:01
valeria_a.r.moraes,Estamos ansiosos por aqui! 🥰👏🏼❤️,2024-09-17 17:50:35
frgustavo,👏👏,2024-09-17 18:09:18
gabrielsb89,"Sensacional. Espero que a Audi Brasil convide nós, fãs da marca e do Senna para esse e os próximos projetos relacionados. ⭕️⭕️⭕️⭕️ #vorsprungdurchtechnik",2024-09-17 19:18:18
gisa_lamadrid,😍😍😍,2024-09-17 19:08:24
belics,👏👏👏👏👏,2024-09-18 13:19:10
yurigutierres,😍🇧🇷,2024-09-17 17:47:13
willrosin,❤️❤️❤️⭕️⭕️⭕️⭕️🏎️🏎️🏎️,2024-09-17 23:40:02
nicolerom_,😍,2024-09-17 23:22:42
josealbertoribeiroda,👏👏👏👏,2024-09-18 01:10:56
_rafaela.v,👏👏👏👏🔥,2024-09-17 17:55:42
cesarschiavinato,RS3? 👀,2024-09-17 17:46:56
cesar.ribeiro82,Será que teremos um AUDI SENNA? @irenan_santos,2024-09-18 01:41:29
b4_avant_rj,Esperando o convite! 😎😎😎,2024-09-18 01:03:22
aline_travensolo,@elisandro_maax,2024-09-17 23:16:59
evelyn_cristine,👀 @criscdealbuquerque,2024-09-17 19:22:24
rn_ruanfd,🔥🔥🔥👏👏👏👏👏,2024-09-18 01:00:57
_danilotk,👏🏼👏🏼,2024-09-19 15:29:18
tarso_aguiar,Briguem pelo @gabrielbortoleto_  nós estamos ansiosos por essa parceria,2024-09-18 01:45:48
robsoncampos___,🇧🇷👏👏👏👏👏👏👏🇧🇷,2024-09-19 23:39:15
moraesgabriel_rs,Avant é vida!,2024-09-19 18:16:32
marcoscanuto1,Show!!,2024-09-18 08:38:45
luis_henrique_hernandes,Audi ❤️‍🔥,2024-09-18 23:10:21
twk_blessed,Amamos seus carro ainda vou ter um audi,2024-09-19 01:34:56
pedrolsmedeiros,Bortoletto? 🦋🦋🦋,2024-09-19 14:07:11
robsoncampos___,@gabrielbortoleto_ 🇧🇷🇧🇷🇧🇷,2024-09-19 23:38:57
antonio.magalhaes.2405,Anuncia logo o Bortoleto,2024-09-18 17:53:21
anthony_oficial33,Confirmado um rs8 senna edition?,2024-09-25 13:21:03
mario.guitar,"Assim o coração não vai aguentar kkk, são tantas lembranças!!",2024-09-25 22:31:35
arthur.bdp9,👏👏👏,2024-09-26 16:49:14
raphaella.trevisol,B de borboleto?,2024-09-26 22:01:25
alisson_silva.santos,Isso é um sinal,2024-09-26 23:13:19
alisson_silva.santos,,2024-09-26 23:14:06
msamucaa,Jurei que a música do começo era a do Max verstappen,2024-09-30 19:43:23
_bielzin_fxp7,AUDI ME DA UM AUDI TT,2024-10-04 17:05:39
goflyhelicopteros,"Não podemos esquecer nosso grande Ubirajara Guimarães eterno ! 👏👏👏 Ele e Ayrton Senna trouxeram a Audi para o Brasil, Grande Ubirajara Guimarães....",2024-10-07 13:10:17
lopesacsonlucasgiacomini,"Rapaz eu gosto só de carro não importa a marca ( tirando o tesla) o que vcs acha, eu tô errado?",2024-10-12 14:17:02
