DT_PUBLICACAO;TEXTO;N_CURTIDAS;LINK_PUBLICACAO;N_COMENTARIOS;DATA_DOWNLOAD
;;;https://www.instagram.com/reel/DAMs7ojuyK0/;;2024-10-08
;;;https://www.instagram.com/p/DAGkLcGNYg_/;;2024-10-08
;;;https://www.instagram.com/reel/DABtVeFR346/;;2024-10-08
;;;https://www.instagram.com/p/C_yaEzzN2c4/;;2024-10-08
;;;https://www.instagram.com/p/C_tf804JI10/;;2024-10-08
;;;https://www.instagram.com/p/C_eCtxvJcNK/;;2024-10-08
;;;https://www.instagram.com/reel/C-3id_qpvVm/;;2024-10-08
;;;https://www.instagram.com/p/C-tL-LeJ4qP/;;2024-10-08
;;;https://www.instagram.com/p/C-WCtsdyezH/;;2024-10-08
